Emapp,id,Produit,Code NFH,Famille,Ss-Famille,Gamme,Variante,Conditmt,Prix indicatif,Unite Energ.,Poids/Volume par piece,Calcium,Sodium,Proteines,Glucides,Lipides,kJ,kcal,dont acides gras satures,dont sucres,% de net
EMApp,159,Quatre épices,10.14,Epicerie,Epicerie,déshydraté,,Pot,33 €,kg,1,0,0.07,5.80,28.70,5.10,780,180,0,0,1
EMApp,160,Dinde-Cuisse (émincé),10.07,Viandes_Poissons,Volaille,brut,20-40g,Kg,6.20 €,kg,1,11,73.70,28.50,0,1.44,538,127,0.40,0,1
EMApp,161,Pintade,10.07,Viandes_Poissons,Volaille,brut,PAC,Kg,4.65 €,kg,1,12,73,23.30,0,6.40,630.30,150.80,1.71,0,0.60
EMApp,162,Poulet-Suprême,10.07,Viandes_Poissons,Volaille,brut,100-120g,colis,10.50 €,kg,1,13.60,415,26.20,0.35,1.76,511,121,0.59,0,1
EMApp,163,Porc-Filet (côte),10.07,Viandes_Poissons,Porc,cru sous vide,140-160 g,kg,4.10 €,kg,1,7.60,63.60,18.60,0,10.60,725,174,3.81,0,1
EMApp,164,Brocolis,10.10,Fruits_et_légumes,Légumes,brut,frais,colis,2.90 €,kg,1,55.80,53,2.10,2.82,0.51,120,28.70,0.12,1.39,0.80
EMApp,165,Gousse de vanille,10.14,Epicerie,Epicerie,déshydraté,,Gousse,3 €,piece,0.003,11,9,0.06,16.65,0,1203.84,288,0,0,1
EMApp,166,Poudre de lait 1/2 écrémé,10.14,Epicerie,Epicerie,déshydraté,,boite,3.40 €,kg,1,1030,347,28.50,43.90,14.60,1780,423,9.70,43.90,1
EMApp,167,Poudre de lait entier,10.14,Epicerie,Epicerie,déshydraté,,boite,3.40 €,kg,1,965,365,27.70,36.20,26.40,2060,493,16.50,36.20,1
EMApp,168,Poudre de lait écrémé,10.14,Epicerie,Epicerie,déshydraté,,boite,3.40 €,kg,1,1230,422,35.80,51.80,0.75,1520,357,0.50,51.80,1
EMApp,169,Ciboulette,10.03,Surgelés,Surgelé légume,surgelé,hachée,sachet 125g,3.05 €,kg,1,69.50,12.30,2.30,4.45,0.43,145,34.40,0,0,1
EMApp,170,Beurre de cacao,10.14,Epicerie,Epicerie,déshydraté,kg,kg,12.90 €,kg,1,0,0,0.01,0.01,100,3700,900,63,0,1
EMApp,171,Farine de Sarrazin,10.14,Epicerie,Epicerie,déshydraté,,kg,1.20 €,kg,1,23.80,6,9.11,70.50,2.24,1470,347,0.41,1.50,1
EMApp,172,Fond pizza sce tomate cuisinée gastronomes,10.04,Surgelés,Surgelé entrée,surgelé,,830gr x8,4.69 €,kg,1,22.80,439,4.80,35.30,3.30,805,190,0,0,1
EMApp,173,Pintade,10.07,Viandes_Poissons,Volaille,brut,suprême,Kg,5 €,kg,1,12,73,23.30,0,6.40,630.30,150.80,1.71,0,0.90
EMApp,174,Eau de rose,10.14,Epicerie,Epicerie,,Liquide,Litre,48 €,litre,1,0,0,0.00,0,0,0,0,0,0,1
EMApp,175,Biscuit sec sablé,10.14,Epicerie,Epicerie,déshydraté,,Unité,0.17 €,piece,0.025,26.20,313,7.55,64.80,21.50,2040,486,12.20,24.50,1
EMApp,176,Sirop de lavande,10.10,Epicerie,Epicerie,,Liquide,Litre,9.90 €,litre,1,4,0,0.10,61.90,0.10,1070,251,0,60,1
EMApp,177,Melon vert,10.10,Fruits_et_légumes,Fruits,brut,,unité,1.80 €,kg,1,11.40,11.40,0.71,6.49,0.15,136,32,0.05,5.94,0.60
EMApp,178,Riz spécial risotto,10.14,Epicerie,Epicerie,déshydraté,,kg,0.76 €,kg,1,11.10,38.60,7.27,77.75,3.60,1595,377,1.40,0.12,1
EMApp,179,Sucre poudre vanillé,10.14,Epicerie,Epicerie,déshydraté,,,19.80 €,piece,0.008,4,2.17,0.00,99.60,0,1690,398,0,99,1
EMApp,180,Asperge verte,10.10,Fruits_et_légumes,Légumes,brut,,Kg,5.26 €,kg,1,20,8.50,2.68,3.18,0.32,125,30,0.07,0.81,0.80
EMApp,181,Romarin,10.10,Fruits_et_légumes,"Herbes, épices et assaisonnements",brut,,Kg,6 €,kg,1,0,0,0.00,0,0,0,0,0,0,1
EMApp,182,Cerfeuil,10.10,Fruits_et_légumes,"Herbes, épices et assaisonnements",brut,,Kg,42 €,kg,1,272,10,3.30,6.47,0.57,203,48.20,0,0,1
EMApp,183,Riz thai,10.14,Epicerie,Epicerie,déshydraté,,kg,0.80 €,kg,1,11.10,38.60,7.27,77.75,3.50,1595,377,1.40,0.12,1
EMApp,184,Porc-Filet mignon,10.07,Viandes_Poissons,Porc,brut,,kg,7.50 €,kg,1,8.99,43.80,21.20,0,4.09,512,122,1.49,0,1
EMApp,185,Bouillon de boeuf,10.14,Epicerie,Epicerie,déshydraté,,boite,8.99 €,kg,1,1,222,0.70,0.10,0.40,28.40,6.80,0.06,0,1
EMApp,186,Agneau-Boulette,10.01,Surgelés,Surgelé viande,surgelé,,Colis,4.90 €,kg,1,0,720,13.80,2,18,930,221,6,0,1
EMApp,187,Polenta de maïs,10.14,Epicerie,Epicerie,brut,,kg,5 €,kg,1,8.90,3,3.50,33,0.77,655,154,0.10,0,1
EMApp,188,Colombo,10.14,Epicerie,Epicerie,déshydraté,,kg,102 €,kg,1,521,0,12.00,37.10,8.32,1360,327,0,0,1
EMApp,189,Biscuit sec (cuillère ou boudoir),10.14,Epicerie,Epicerie,déshydraté,,Kg,29.60 €,kg,1,26.80,110,8.16,80.30,3.71,1640,388,0.72,55,1
EMApp,190,Crème dessert portion,10.12,BOF,Crèmes et spécialités à base de crème,brut,pot vanille,piece,0.18 €,piece,0.125,117,53.30,3.64,19.30,4,538,128,1.98,15.40,1
EMApp,191,Crème dessert portion,10.12,BOF,Crèmes et spécialités à base de crème,brut,pot chocolat,piece,0.18 €,piece,0.125,117,75.30,3.21,19.50,5.07,591,140,1.52,16.30,1
EMApp,192,Yaourt nature,10.12,BOF,Yaourts et spécialités laitières type yaourts,brut,lait entier,colis,0.28 €,piece,0.125,128,49.90,4.12,3.54,2.57,239,56.90,1.61,3.54,1
EMApp,193,Patate douce,10.10,Fruits_et_légumes,Légumes,brut,,Colis,4.50 €,kg,1,32.50,31.50,1.69,16.30,0.15,334,79.10,0.03,6.11,0.85
EMApp,194,Citronnelle,10.10,Fruits_et_légumes,"Herbes, épices et assaisonnements",brut,,botte,1.50 €,piece,0.100,65,0,1.82,25.31,0.49,414,99,0,0,0.95
EMApp,195,Boeuf-Viande hachée 10 %MG,10.07,Viandes_Poissons,Bœuf,cru sous vide,,kg,6.30 €,kg,1,8.50,65.50,20.60,0,9.60,705,169,3.67,0,1
EMApp,196,Fromage-Tomme fraîche,10.12,BOF,Fromages non affinés et spécialités fromagères,brut,,sous vide,11.90 €,kg,1,600,697,23.00,1,27,1440,350,0,0,1
EMApp,197,Matière grasse végétale oméga 3 et 6,10.12,BOF,Margarines et matières grasses composées,brut,,Bidon,10.50 €,kg,1,4.30,114,0.10,0.30,57.20,2120,516,12.80,0,1
EMApp,198,Fromage fondu,10.12,BOF,Fromages fondus,brut,,,7.50 €,kg,1,576,737,10.20,6.50,22.50,1150,277,13.90,6.50,1
EMApp,199,Huile de tournesol,10.14,Epicerie,Epicerie,,Liquide,litre,2.10 €,litre,1,2.57,1.11,0.00,0,100,3700,900,10.40,0,1
EMApp,200,Oignons blancs,10.03,Surgelés,Surgelé légume,surgelé,ciselé,sachet 2.5kg,1.70 €,kg,1,31,39,1.00,9.10,0.20,193,46,0.05,2.20,1
EMApp,201,Veau-Osso bucco,10.07,Viandes_Poissons,Veau,cru sous vide,,kg,9.37 €,kg,1,0,0,21.30,0,2.60,435,104,36.20,0,0.60
EMApp,202,Crème liquide végétale,10.12,BOF,Crèmes et spécialités à base de crème,,,litre,2.85 €,litre,1,0,0.03,2.50,4,31,1300,310,28,3,1
EMApp,203,Eau,,Epicerie,Epicerie,déshydraté,LIQUIDE,Litre,0 €,litre,1,7.13,2.40,0.00,0,0,0,0,0,0,1
EMApp,204,Agneau-Emincé,10.07,Viandes_Poissons,Agneau,brut,,Kg,8.35 €,kg,1,0,0,16.00,0,16.70,880.30,210.60,7.44,0,1
EMApp,205,Porc-Echine (côte),10.07,Viandes_Poissons,Porc,cru sous vide,120-140 g,kg,5.99 €,kg,1,0,58.50,28.00,0,15.30,1042,250,5.34,0,0.90
EMApp,206,Boeuf-Viande hachée 15%MG,10.01,Surgelés,Surgelé viande,surgelé,,Kg,5.99 €,kg,1,10.20,110,18.70,0,13.60,830,199,5.88,0,1
EMApp,207,Lait de coco,10.14,Epicerie,Epicerie,,Liquide,Litre,2.90 €,litre,1,0,0,2.02,6.33,17.60,795,192,15.70,1.80,1
EMApp,208,Chocolat blanc,10.14,Epicerie,Epicerie,déshydraté,,Kg,2.90 €,kg,1,262,55,8.00,57.70,32,2300,551,0,57.10,1
EMApp,209,Amandes hachées,10.14,Epicerie,Epicerie,déshydraté,,kg,6.57 €,kg,1,248,1.61,25.40,1.50,53.40,2620,634,4.04,1.08,1
EMApp,210,Bâtonnet chocolat noir,10.14,Epicerie,Epicerie,déshydraté,,paquet,22.28 €,kg,1,130,19.10,4.90,54.90,30.20,2190,526,18.10,40.40,1
EMApp,211,Oeuf blanc liquide,10.12,BOF,Oeufs et dérivés,brut,bidon,Litre,2.40 €,litre,1,6.67,155,10.30,0.71,0.18,194,45.70,0,0.71,1
EMApp,212,Sauce chili,10.14,Epicerie,Epicerie,appertisé,Liquide,Litre,5.60 €,litre,1,0,2643,0.50,1.80,0.40,45.98,11,0,0,1
EMApp,213,Boeuf-Langue,10.07,Viandes_Poissons,Bœuf,cru sous vide,,Poche,9.90 €,kg,1,0,75.30,16.80,0,13.80,802,192,43.60,0,1
EMApp,214,Cocktail de fruits de mer,10.02,Surgelés,Surgelé poisson,surgelé,,kg,3.70 €,kg,1,70,183,13.50,2.20,1,302,72,0,0,1
EMApp,215,Yaourt soja,10.12,BOF,Yaourts et spécialités laitières type yaourts,brut,pot,colis,0.32 €,piece,0.125,60.20,35.10,4.27,2.59,2.68,216,51.60,0.45,1.50,1
EMApp,216,Yaourt nature,10.12,BOF,Yaourts et spécialités laitières type yaourts,brut,12 écremé,colis,0.10 €,piece,0.125,117,42.60,3.28,4.80,1.53,193,45.80,0.90,4.80,1
EMApp,217,Yaourt nature,10.12,BOF,Yaourts et spécialités laitières type yaourts,brut,12 écrémé seau,seau,1.50 €,kg,1,117,42.60,3.28,4.80,1.53,193,45.80,0.90,4.80,1
EMApp,218,Yaourt bulgare,10.12,BOF,Yaourts et spécialités laitières type yaourts,brut,pot,piece,0.23 €,piece,0.125,133,59.40,3.80,4.26,6.90,404,97,0,0,1
EMApp,219,Yaourt au fruit,10.12,BOF,Yaourts et spécialités laitières type yaourts,brut,entier,piece,0.18 €,piece,0.125,115,44.90,3.51,15.20,2.81,436,103,1.86,12.70,1
EMApp,220,Yaourt au fruit,10.12,BOF,Yaourts et spécialités laitières type yaourts,brut,1/2 écrèmé,piece,0.16 €,piece,0.125,114,58.30,4.30,14.60,1.71,401,94.80,0.86,14.60,1
EMApp,221,Vinaigrette,10.14,Epicerie,Epicerie,,Liquide,Litre,1.89 €,litre,1,14.20,382,0.00,0.10,52.50,1940,473,5.86,0,1
EMApp,222,Vinaigre de xeres,10.14,Epicerie,Epicerie,,Liquide,Litre,5.26 €,litre,1,7,7.67,0.13,0.68,0.15,98,22.80,0,0.32,1
EMApp,223,Vinaigre de vin,10.14,Epicerie,Epicerie,,Liquide,Litre,0.56 €,litre,1,7,7.67,0.13,0.68,0.15,98,22.80,0,0.32,1
EMApp,224,Vinaigre de riz,10.14,Epicerie,Epicerie,,Liquide,Litre,3.61 €,litre,1,7,7.67,0.13,0.68,0.15,98,22.80,0,0.32,1
EMApp,225,Vinaigre de framboise,10.14,Epicerie,Epicerie,,Liquide,Litre,2.56 €,litre,1,7,7.67,0.13,0.68,0.15,98,22.80,0,0.32,1
EMApp,226,Vinaigre de cidre,10.14,Epicerie,Epicerie,,Liquide,Litre,1.77 €,litre,1,7,7.67,0.13,0.68,0.15,98,22.80,0,0.32,1
EMApp,227,Vinaigre d'alcool blanc 6°,10.14,Epicerie,Epicerie,,Liquide,Litre,0.36 €,litre,1,7,7.67,0.13,0.68,0.15,98,22.80,0,0.32,1
EMApp,228,Vinaigre balsamique,10.14,Epicerie,Epicerie,,Liquide,Litre,3.49 €,litre,1,7,7.67,0.13,0.68,0.15,98,22.80,0,0.32,1
EMApp,229,Vin rouge cuisine,10.14,Epicerie,Epicerie,,Liquide,Litre,1.17 €,litre,1,5.42,1.01,0.06,4.02,0,326,78.20,0,0.48,1
EMApp,230,Vin blanc cuisine,10.14,Epicerie,Epicerie,,Liquide,Litre,1.22 €,litre,1,5.64,1.70,0.08,3.86,0,322,77.30,0,0.53,1
EMApp,231,Verveine,10.10,Fruits_et_légumes,"Herbes, épices et assaisonnements",brut,,Kg,4.03 €,kg,1,0,0,0.00,0,0,0,0,0,0,1
EMApp,232,Vermicelle multicolore,10.14,Epicerie,Epicerie,,,kg,3.14 €,kg,1,0,0,1.00,80,13.50,1880,449,1.50,77,1
EMApp,233,Fromage-Vacherin mont d'Or,10.12,BOF,Fromages affinés à pâte molle,brut,entier,piece,11.01 €,kg,1,700,450,17.60,0.67,24,1200,289,15.50,0,1
EMApp,234,Turbot,10.08,Viandes_Poissons,Poisson,brut,,Kg,28.30 €,kg,1,62,9,22.70,0,3.50,515,122,0.86,0,0.50
EMApp,235,Truite,10.08,Viandes_Poissons,Poisson,brut,,Kg,9.20 €,kg,1,0,52.60,19.00,0,5,508,121,1.03,0,0.50
EMApp,236,Porc-Travers,10.07,Viandes_Poissons,Porc,brut,,Kg,5.70 €,kg,1,8.28,55.01,23.10,0,26.60,1380,332,10.90,0,0.70
EMApp,237,Tourteau. cuit,10.08,Viandes_Poissons,Crustacés et mollusques,brut,,Kg,2.50 €,kg,1,15,402,19.30,0.50,5.38,536,128,0.70,0,0.20
EMApp,238,Tortis,10.14,Epicerie,Epicerie,déshydraté,,kg,1.18 €,kg,1,17,115,12.12,74.25,1.87,1602,377,0.25,1.17,1
EMApp,239,Torsades,10.14,Epicerie,Epicerie,déshydraté,,kg,0.99 €,kg,1,17,115,12.12,74.20,1.87,1602,377,0.25,1.17,1
EMApp,240,Topinambour,10.10,Fruits_et_légumes,Légumes,brut,,Kg,1.15 €,kg,1,32.90,35.90,2.00,12.80,0.70,300,71,0,9.60,0.60
EMApp,241,Fromage-Tomme noire,10.12,BOF,Fromages affinés à pâte ferme,brut,portion,carton,0.23 €,piece,0.025,869,697,28.60,0.20,25.60,1430,345,15.90,0,1
EMApp,242,Fromage-Tomme de Savoie,10.12,BOF,Fromages affinés à pâte ferme,brut,entière,piece,11.18 €,kg,1,626,807,22.60,0.23,30.10,1500,363,19.10,0,1
EMApp,243,Fromage-Tomme blanche,10.12,BOF,Fromages affinés à pâte ferme,brut,entière,piece,4.35 €,kg,1,869,697,28.60,0.20,25.60,1430,345,15.90,0,1
EMApp,244,Fromage-Tomme blanche,10.12,BOF,Fromages affinés à pâte ferme,brut,prédecoupé,colis,6.41 €,kg,1,869,697,28.60,0.20,25.60,1430,345,15.90,0,1
EMApp,245,Fromage-Tomme pyrénnée,10.12,BOF,Fromages affinés à pâte ferme,brut,entiere,carton,5.84 €,kg,1,626,807,22.60,0.23,30.10,1500,363,19.10,0,1
EMApp,246,Fromage-Tomme pyrénnée,10.12,BOF,Fromages affinés à pâte ferme,brut,portion,,0.25 €,piece,0.025,626,807,22.60,0.23,30.10,1500,363,19.10,0,1
EMApp,247,Tomate pelée concassée,10.14,Epicerie,Epicerie,appertisé,,kg,0.56 €,kg,1,19.90,239,1.40,7.54,0.40,199,47.10,0.09,3.64,1
EMApp,248,Tomate confite,10.09,Fruits_et_légumes,Légumes,cuit sous vide,,Kg,7.88 €,kg,1,0,0,5.00,23,14,995,238,0,0,1
EMApp,249,Tomate cerise,10.10,Fruits_et_légumes,Légumes,brut,,Kg,1.04 €,kg,1,11,13,0.80,5,0.80,124,29,0.02,3,0.90
EMApp,250,Tomate,10.10,Fruits_et_légumes,Légumes,brut,,Kg,1 €,kg,1,8.24,3.29,0.80,1.72,0.26,69,16,0.05,1.68,0.90
EMApp,251,Tilapia du Nil,10.08,Viandes_Poissons,Poisson,brut,,Kg,3.90 €,kg,1,0,42.60,17.00,0,2,363,86,0.10,0,0.50
EMApp,252,Thym,10.10,Fruits_et_légumes,"Herbes, épices et assaisonnements",brut,,Kg,47.50 €,kg,1,1260,36.70,6.07,41.70,4.94,1220,291,0,0,1
EMApp,253,Thym,10.14,Epicerie,Epicerie,déshydraté,,kg,39.50 €,kg,1,1260,36.70,6.07,41.70,4.94,1220,291,2.73,1.71,1
EMApp,254,Thon naturel,10.14,Epicerie,Epicerie,appertisé,poche,kg,10.70 €,kg,1,1.50,283,26.40,0,1.04,487,115,0.37,0,1
EMApp,255,Thon naturel,10.14,Epicerie,Epicerie,appertisé,Boite 3/1,Boite 3/1,13.43 €,kg,1,1.50,283,26.40,0,1.04,487,115,0.37,0,1
EMApp,256,Thé,10.14,Epicerie,Epicerie,déshydraté,,kg,5.15 €,kg,1,0,0,0.10,0,0,1.67,0.40,0,0,1
EMApp,257,Terrine de poisson,10.14,Epicerie,Epicerie,appertisé,,kg,8.12 €,kg,1,31,405,10.00,5.50,21.10,1040,252,2.15,1.50,1
EMApp,258,Terrine de canard,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,8.50 €,kg,1,40.40,615,15.20,3.53,26.10,1280,310,9.78,0,1
EMApp,259,Tartelette sablée,10.14,Epicerie,Epicerie,déshydraté,8 cm,Unité,0.21 €,piece,0.025,0,0,5.00,50.30,24.20,1863,446,0,0,1
EMApp,260,Tartelette sablée,10.14,Epicerie,Epicerie,déshydraté,11 cm,Unité,0.28 €,piece,0.030,0,0,5.00,50.30,24.20,1863,446,0,0,1
EMApp,261,Tarte fond 28 cm,10.14,Epicerie,Epicerie,déshydraté,,Unité,2.40 €,piece,0.300,0,0,5.00,50.30,24.20,1863,446,0,0,1
EMApp,262,Tarte aux pommes,10.06,Surgelés,Surgelé pâtisserie,surgelé,75g indivi,unité,0.34 €,piece,0.075,14.60,139,17.50,27.20,7.10,1024,243,0,0,1
EMApp,263,Tagliatelle,10.14,Epicerie,Epicerie,déshydraté,,kg,2.35 €,kg,1,17,115,12.12,74.20,1.87,1602,377,0.25,1.17,1
EMApp,264,Tabasco,10.14,Epicerie,Epicerie,,,Flacon,32 €,litre,1,0,0,1.90,0.80,0.76,50,12,0,0,1
EMApp,265,Surimi,10.14,Epicerie,Epicerie,appertisé,,Kg,6.50 €,kg,1,17,670,8.65,11.80,2.15,427,101,0.29,0,1
EMApp,266,Sucre semoule,10.14,Epicerie,Epicerie,déshydraté,,kg,0.97 €,kg,1,4,2.17,0.00,99.60,0,1690,398,0,99,1
EMApp,267,Sucre poudre,10.14,Epicerie,Epicerie,déshydraté,,kg,0.98 €,kg,1,4,2.17,0.00,99.60,0,1690,398,0,99,1
EMApp,268,Sucre morceau n° 4,10.14,Epicerie,Epicerie,déshydraté,,kg,0.96 €,kg,1,4,2.17,0.00,99.60,0,1690,398,0,99,1
EMApp,269,Sucre glace,10.14,Epicerie,Epicerie,déshydraté,,kg,1.08 €,kg,1,4,2.17,0.00,99.60,0,1690,398,0,99,1
EMApp,270,Sucre dose semoule,10.14,Epicerie,Epicerie,déshydraté,,kg,2.13 €,kg,1,4,2.17,0.00,99.60,0,1690,398,0,99,1
EMApp,271,Fromage-Ste-Maure,10.12,BOF,Fromages affinés à pâte molle,brut,buche 250g,kg,24.68 €,kg,1,151,1040,21.80,1.15,28.20,1460,351,18.50,0.87,1
EMApp,272,Boeuf-Steak haché 5% MG,10.01,Surgelés,Surgelé viande,surgelé,100 g,Kg,6.50 €,kg,1,7,58,19.60,0,4.69,507,121,1.64,0,1
EMApp,273,Boeuf-Steak haché 20% MG,10.01,Surgelés,Surgelé viande,surgelé,100 g,Kg,6.50 €,kg,1,11,64.50,16.80,0,24.20,1180,285,9.79,0,1
EMApp,274,Boeuf-Steak haché 10% MG,10.01,Surgelés,Surgelé viande,surgelé,100 g,Kg,5.60 €,kg,1,8.50,65.50,20.60,0,9.60,705,169,3.67,0,1
EMApp,275,Boeuf-Steak haché surgelé 15 % MG,10.01,Surgelés,Surgelé viande,surgelé,100 g,Kg,5.42 €,kg,1,10.20,110,18.70,1,13.60,830,199,5.88,0,0.80
EMApp,276,Steak de thon,10.08,Viandes_Poissons,Poisson,brut,,Kg,8.40 €,kg,1,24,45.70,23.70,0,4.60,573,136,1.20,0,0.90
EMApp,277,Veau-Steak de veau,10.01,Surgelés,Surgelé viande,surgelé,120g,Kg,4.63 €,kg,1,9.50,76.50,28.40,0,2.75,585,138,0,0,0.80
EMApp,278,Steak de thon,10.02,Surgelés,Surgelé poisson,surgelé,,Kg,5.45 €,kg,1,24,45.70,23.70,0,4.60,573,136,0,0,1
EMApp,279,Steak de merlu,10.02,Surgelés,Surgelé poisson,surgelé,,Kg,2.85 €,kg,1,9.20,80,17.60,0,2.34,386,92,0,0,1
EMApp,280,Steak de lieu,10.02,Surgelés,Surgelé poisson,surgelé,,Kg,4.85 €,kg,1,14.30,155,18.80,0,0.35,333,79,0,0,1
EMApp,281,Speculos concassé,10.14,Epicerie,Epicerie,déshydraté,,kg,2.91 €,kg,1,10,255,6.50,66.20,19.80,1990,475,6.34,23.60,1
EMApp,282,Spaghetti,10.14,Epicerie,Epicerie,déshydraté,,kg,1.18 €,kg,1,17,115,12.12,74.20,1.87,1602,377,0.25,1.17,1
EMApp,283,Soupe de poisson,10.14,Epicerie,Epicerie,appertisé,Liquide,Litre,2.02 €,litre,1,89,424,3.60,5.69,1.89,233,55.50,0.45,1.15,1
EMApp,284,Sole,10.08,Viandes_Poissons,Poisson,brut,,Kg,9.99 €,kg,1,96,117,20.30,0,1.50,400,95,0.01,0,0.50
EMApp,285,Sirop de menthe,10.14,Epicerie,Epicerie,,Liquide,Litre,1.22 €,litre,1,4,2.39,0.12,61.90,0.05,1070,251,0,58.90,1
EMApp,286,Sésame,10.14,Epicerie,Epicerie,déshydraté,,kg,4.40 €,kg,1,962,2.31,17.70,20.90,56.40,2660,644,7.60,0.45,1
EMApp,287,Semoule moyenne,10.14,Epicerie,Epicerie,déshydraté,,kg,0.78 €,kg,1,15,123,9.47,89.20,1.92,1792,422,0.07,0.25,1
EMApp,288,Semoule de blé fine,10.14,Epicerie,Epicerie,déshydraté,,kg,0.94 €,kg,1,15,123,9.47,89.20,1.92,1792,422,0.07,0.25,1
EMApp,289,Sel blanc gros,10.14,Epicerie,Epicerie,déshydraté,,kg,0.24 €,kg,1,13,39000,0.00,0,0,0,0,0,0,1
EMApp,290,Sel blanc fin,10.14,Epicerie,Epicerie,déshydraté,,kg,0.76 €,kg,1,13.30,39100,0.00,0,0,0,0,0,0,1
EMApp,291,Seiche crue,10.08,Viandes_Poissons,Crustacés et mollusques,brut,,Kg,4.50 €,kg,1,59,370,16.10,0.70,0.70,312,74,0.20,0,0.60
EMApp,292,Scarole,10.09,Fruits_et_légumes,Légumes,cru sous vide,,Kg,4.97 €,kg,1,65.50,16,1.40,0.95,0.25,74,18,0.05,0.70,1
EMApp,293,Scarole,10.10,Fruits_et_légumes,Légumes,brut,epluchée,Kg,3.97 €,kg,1,65.50,16,1.40,0.95,0.25,74,18,0.05,0.70,1
EMApp,294,Scarole,10.10,Fruits_et_légumes,Légumes,brut,,Kg,3 €,kg,1,65.50,16,1.40,0.95,0.25,74,18,0.05,0.70,0.50
EMApp,295,Veau-Epaule (sauté),10.07,Viandes_Poissons,Veau,brut,40-60 g,Kg,8.49 €,kg,1,10,0,18.50,0,4.63,486,116,2.16,0,1
EMApp,296,Porc-Epaule(sauté),10.07,Viandes_Poissons,Porc,brut,40-60 gr,Kg,3.87 €,kg,1,10,67,30.00,0,14.30,1060,253,5.56,0,1
EMApp,297,saute de dinde ss os ss peau,10.07,Viandes_Poissons,Volaille,brut,20-40g,Kg,3.60 €,kg,1,11,87.50,28.50,0,1.44,538,127,0.50,0,0.80
EMApp,298,Agneau-Sauté (épaule),10.07,Viandes_Poissons,Agneau,brut,40-60 g,Kg,12.45 €,kg,1,0,0,21.00,0,12,803,192,6.14,0,1
EMApp,299,Poisson-Saumonette,10.02,Surgelés,Surgelé poisson,surgelé,,Kg,4.55 €,kg,1,0,0,17.50,0,11.70,736,176,0,0,0.80
EMApp,300,Saumon fumé,10.08,Viandes_Poissons,Poisson,brut,,Kg,18.68 €,kg,1,8.34,1440,21.80,0,9.10,708,169,2.45,0,0.80
EMApp,301,Poisson-Saumon ss peau ss aretes Pavé,10.02,Surgelés,Surgelé poisson,surgelé,100-120g,Kg,9.90 €,kg,1,11.20,47,19.90,0,11.30,756,181,0,0,0.90
EMApp,302,Poisson-Saumon (Darne),10.02,Surgelés,Surgelé poisson,surgelé,120g,Kg,5.99 €,kg,1,11.20,47,19.90,0,11.30,756,181,0,0,0.80
EMApp,303,Filet de saumon ss peau ss aretes,10.08,Viandes_Poissons,Poisson,brut,,Kg,9.90 €,kg,1,11.20,47,19.90,0,11.30,756,181,2.32,0,1
EMApp,304,Saucisson sec pur porc,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,7.20 €,kg,1,22.20,1980,26.20,0.10,32.90,1660,401,12.40,0,1
EMApp,305,Saucisson à l'ail,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,2.31 €,kg,1,9,1300,14.60,0.70,25,1190,287,8.92,0,1
EMApp,306,Saucisse fumée,10.07,Viandes_Poissons,Charcuterie,brut,,kg,5.32 €,kg,1,18.30,921,12.00,0.20,28.20,1283,307,8.56,0,1
EMApp,307,Saucisse de Toulouse,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,4.60 €,kg,1,11.50,686,18.80,1,25.70,1290,312,9.44,0,1
EMApp,308,Saucisse de Strasbourg,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,3.35 €,kg,1,25,834,12.50,1,25.90,1190,287,9.18,0,1
EMApp,309,Saucisse de Morteau,10.07,Viandes_Poissons,Charcuterie,brut,,kg,15.90 €,kg,1,8.40,809,15.20,0,30.20,1380,334,11.70,0,1
EMApp,310,Saucisse de Monbéliard,10.07,Viandes_Poissons,Charcuterie,brut,,kg,13.52 €,kg,1,29.90,931,15.70,0.70,28.80,1340,325,11.50,0,1
EMApp,311,Saucisse de Francfort,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,7.20 €,kg,1,31.50,974,12.10,1.15,26.70,1210,294,9.87,0,1
EMApp,312,Saucisse cocktail,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,6.50 €,kg,1,33.70,828,12.70,1.35,27,1240,300,10.20,0,1
EMApp,313,Saucisse alsacienne fumée ou Gendarme,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,7.80 €,kg,1,18.30,1100,21.00,3.31,28.20,1460,351,8.56,0,1
EMApp,314,Sauce soja,10.14,Epicerie,Epicerie,,liquide,kg,0.24 €,litre,1,27.30,6260,4.75,6.30,0,186,44,0,5.96,1
EMApp,315,Sauce Pizza,10.14,Epicerie,Epicerie,appertisé,Boite 5/1,Boite 5/1,2.32 €,kg,1,22.80,668,1.80,11.60,3.80,310,73.70,0.20,2.46,1
EMApp,316,Sauce nuoc,10.14,Epicerie,Epicerie,,Liquide,Litre,11.84 €,litre,1,0,8860,9.30,10.90,0,345,81.50,0,8.34,1
EMApp,317,Sauce anglaise,10.14,Epicerie,Epicerie,,Liquide,Litre,8.25 €,litre,1,0,0,0.00,0,0,0,0,0,0,1
